Date,Open,High,Low,Close
2025-05-21,4600,4690,4570,4670
2025-05-22,4680,4710,4630,4630
2025-05-23,4770,4780,4730,4740
2025-05-26,4770,4780,4690,4730
2025-05-27,4710,4730,4660,4700
2025-05-28,4710,4850,4660,4850
2025-06-02,4780,4800,4730,4780
2025-06-03,4750,4760,4650,4700
2025-06-04,4760,4760,4610,4610
2025-06-05,4640,4670,4610,4610
2025-06-10,4670,4670,4600,4600
2025-06-11,4610,4630,4580,4610
2025-06-12,4610,4620,4560,4560
2025-06-13,4580,4600,4560,4570
2025-06-16,4570,4630,4560,4610
2025-06-17,4640,4640,4590,4600
2025-06-18,4610,4620,4590,4590
2025-06-19,4590,4600,4500,4530
2025-06-20,4530,4530,4480,4490
2025-06-23,4470,4470,4400,4430
2025-06-24,4470,4500,4430,4470
2025-06-25,4530,4530,4420,4470
2025-06-26,4440,4450,4410,4450
2025-06-30,4470,4520,4450,4500
2025-07-01,4490,4510,4440,4450
2025-07-02,4450,4550,4440,4540
2025-07-03,4540,4590,4530,4570
2025-07-04,4600,4650,4570,4620
2025-07-07,4620,4680,4590,4680
2025-07-08,4670,4670,4620,4660
2025-07-09,4680,4720,4670,4720
2025-07-10,4720,4730,4680,4680
2025-07-11,4720,4720,4680,4710
2025-07-14,4710,4750,4650,4700
2025-07-15,4700,4700,4630,4700
2025-07-16,4700,4810,4690,4750
2025-07-17,4750,4820,4730,4790
2025-07-18,4810,4840,4750,4750
2025-07-21,4810,4810,4720,4760
2025-07-22,4760,4760,4680,4690
2025-07-23,4740,4950,4720,4950
2025-07-24,4990,5075,4980,5050
2025-07-25,5000,5050,4950,5000
2025-07-28,5025,5100,4990,5100
2025-07-29,5100,5125,5025,5100
2025-07-30,5100,5150,5075,5150
2025-07-31,5150,5175,5100,5100
2025-08-01,5125,5150,4960,5000
2025-08-04,5000,5050,4940,5025
2025-08-05,5050,5050,4990,5025
2025-08-06,5025,5025,4900,4900
2025-08-07,4920,5025,4920,4960
2025-08-08,4950,4990,4920,4920
2025-08-11,4920,4930,4870,4900
2025-08-12,4900,5025,4890,4990
2025-08-13,5100,5250,5025,5175
2025-08-14,5125,5150,5075,5100
2025-08-15,5100,5125,5025,5025
2025-08-19,5275,5575,5200,5525
2025-08-20,5525,5550,5450,5525
2025-08-21,5525,5650,5500,5625
2025-08-22,5650,5775,5600,5700
2025-08-25,5750,5775,5675,5750
2025-08-26,5725,5725,5475,5625
2025-08-27,5650,5725,5500,5500
2025-08-28,5525,5650,5525,5575
2025-08-29,5450,5625,5425,5500
2025-09-01,5200,5500,5200,5450
2025-09-02,5500,5550,5400,5475
2025-09-03,5525,5650,5450,5500
2025-09-04,5500,5500,5400,5500
2025-09-08,5600,5600,5350,5425
2025-09-09,5400,5600,5350,5525
2025-09-10,5525,5525,5400,5475
2025-09-11,5475,5600,5450,5550
2025-09-12,5625,5700,5600,5675
2025-09-15,5675,5700,5600,5625
2025-09-16,5650,5675,5600,5650
2025-09-17,5650,5700,5600,5700
2025-09-18,5700,5725,5550,5575
2025-09-19,5575,5750,5575,5725
2025-09-22,5725,5725,5625,5700
2025-09-23,5675,5950,5650,5900
2025-09-24,5950,5950,5850,5900
2025-09-25,5900,5900,5750,5775
2025-09-26,5875,6000,5775,5875
2025-09-29,5875,5900,5750,5775
2025-09-30,5750,5825,5700,5775
2025-10-01,5825,5850,5650,5675
2025-10-02,5750,5750,5625,5700
2025-10-03,5750,5850,5750,5825
2025-10-06,5900,5925,5800,5825
2025-10-07,5925,6050,5725,5750
2025-10-08,5825,5875,5650,5725
2025-10-09,5775,5925,5750,5925
2025-10-10,5925,5950,5850,5900
2025-10-13,5850,5925,5775,5800
2025-10-14,5800,6025,5800,5825
2025-10-15,5950,5950,5750,5775
2025-10-16,5850,5850,5750,5750
2025-10-17,5725,5800,5575,5625
2025-10-20,5625,5925,5625,5925
2025-10-21,6000,6050,5900,6000
2025-10-22,6050,6300,6000,6175
2025-10-23,6075,6400,6075,6325
2025-10-24,6375,6675,6350,6575
2025-10-27,6600,6725,6375,6600
2025-10-28,6600,6600,6275,6325
2025-10-29,6250,6500,6225,6475
2025-10-30,6425,6450,6250,6275
2025-10-31,6250,6300,6125,6150
2025-11-03,6150,6450,6150,6350
2025-11-04,6300,6375,6250,6300
2025-11-05,6250,6325,6175,6250
2025-11-06,6300,6350,6200,6325
2025-11-07,6325,6450,6300,6425
2025-11-10,6500,6500,6400,6425
2025-11-11,6550,6600,6450,6525
2025-11-12,6550,6575,6400,6450
2025-11-13,6425,6425,6350,6375
2025-11-14,6375,6450,6325,6400
2025-11-17,6400,6500,6375,6450
2025-11-18,6475,6550,6400,6425
2025-11-19,6425,6475,6275,6400
2025-11-20,6450,6500,6375,6425
2025-11-21,6400,6425,6325,6425
