Date,Open,High,Low,Close
2022-02-23,7900,8100,7875,8050
2022-02-24,8125,8150,7925,8000
2022-02-25,7950,8175,7925,8050
2022-03-01,8000,8175,8000,8050
2022-03-02,8225,8225,7975,7975
2022-03-04,7975,8025,7900,7900
2022-03-07,7800,7850,7700,7700
2022-03-08,7700,7850,7650,7650
2022-03-09,7700,7950,7650,7850
2022-03-10,7925,7975,7800,7925
2022-03-11,7725,7950,7725,7950
2022-03-14,8050,8100,7950,8075
2022-03-15,8150,8200,8075,8150
2022-03-16,8275,8275,8075,8200
2022-03-17,8300,8300,8000,8000
2022-03-18,8000,8100,7900,7900
2022-03-21,7800,7950,7800,7900
2022-03-22,7900,7950,7875,7925
2022-03-23,7925,7950,7825,7900
2022-03-24,7850,7950,7800,7925
2022-03-25,7900,7950,7900,7950
2022-03-28,7825,7900,7800,7900
2022-03-29,7875,7900,7825,7850
2022-03-30,7900,7900,7825,7875
2022-03-31,7925,8000,7875,7975
2022-04-01,8075,8075,7850,7925
2022-04-04,7925,7925,7825,7900
2022-04-05,7900,7900,7850,7900
2022-04-06,7825,7850,7750,7750
2022-04-07,7725,7825,7700,7750
2022-04-08,7800,7875,7775,7850
2022-04-11,7825,7875,7725,7725
2022-04-12,7725,7800,7700,7800
2022-04-13,7800,7850,7750,7800
2022-04-14,7800,7800,7700,7700
2022-04-18,7700,7725,7625,7700
2022-04-19,7700,7700,7625,7625
2022-04-20,7725,7725,7625,7650
2022-04-21,7800,7925,7750,7925
2022-04-22,7850,7925,7800,7875
2022-04-25,7875,8000,7825,8000
2022-04-26,7925,8125,7925,8125
2022-04-27,8075,8200,8075,8200
2022-04-28,8250,8250,8075,8125
2022-05-09,7875,7900,7600,7600
2022-05-10,7250,7600,7250,7525
2022-05-11,7525,7700,7450,7650
2022-05-12,7525,7550,7275,7275
2022-05-13,7250,7475,7250,7325
2022-05-17,7275,7475,7275,7400
2022-05-18,7500,7575,7375,7575
2022-05-19,7400,7475,7375,7450
2022-05-20,7425,7475,7400,7400
2022-05-23,7450,7475,7350,7375
2022-05-24,7325,7475,7325,7350
2022-05-25,7400,7450,7350,7375
2022-05-27,7525,7575,7475,7575
2022-05-30,7575,7600,7475,7575
2022-05-31,7600,7750,7525,7750
2022-06-02,7625,7675,7525,7575
2022-06-03,7600,7675,7575,7600
2022-06-06,7550,7575,7425,7450
2022-06-07,7300,7475,7300,7375
2022-06-08,7500,7600,7425,7600
