Date,Open,High,Low,Close
2025-08-20,4790,4950,4780,4950
2025-08-21,4950,4950,4860,4900
2025-08-22,4920,4920,4870,4890
2025-08-25,4950,4980,4920,4950
2025-08-26,4950,4950,4860,4900
2025-08-27,4840,4880,4800,4800
2025-08-28,4790,4850,4770,4770
2025-08-29,4720,4750,4660,4730
2025-09-01,4550,4670,4460,4600
2025-09-02,4610,4670,4560,4570
2025-09-03,4620,4660,4570,4620
2025-09-04,4630,4680,4620,4680
2025-09-08,4750,4750,4460,4490
2025-09-09,4450,4480,4310,4310
2025-09-10,4360,4420,4350,4400
2025-09-11,4480,4540,4450,4480
2025-09-12,4500,4550,4480,4520
2025-09-15,4550,4640,4520,4530
2025-09-16,4570,4570,4460,4480
2025-09-17,4480,4520,4440,4510
2025-09-18,4540,4550,4420,4420
2025-09-19,4350,4420,4330,4380
2025-09-22,4410,4420,4360,4420
2025-09-23,4390,4430,4370,4410
2025-09-24,4410,4430,4390,4390
2025-09-25,4400,4410,4360,4360
2025-09-26,4350,4430,4350,4420
2025-09-29,4420,4430,4400,4400
2025-09-30,4420,4450,4380,4400
2025-10-01,4360,4400,4350,4380
2025-10-02,4410,4440,4360,4360
2025-10-03,4370,4380,4300,4310
2025-10-06,4320,4330,4260,4260
2025-10-07,4260,4320,4250,4290
2025-10-08,4280,4290,4210,4250
2025-10-09,4240,4450,4200,4390
2025-10-10,4410,4420,4250,4250
2025-10-13,4210,4240,4200,4230
2025-10-14,4220,4270,4090,4090
2025-10-15,4110,4140,4010,4050
2025-10-16,4050,4150,4050,4090
2025-10-17,4110,4110,4030,4050
2025-10-20,4120,4320,4070,4300
2025-10-21,4350,4390,4300,4350
2025-10-22,4350,4460,4290,4330
2025-10-23,4310,4440,4310,4430
2025-10-24,4380,4590,4380,4550
2025-10-27,4590,4600,4410,4470
2025-10-28,4490,4510,4440,4510
2025-10-29,4500,4650,4490,4650
2025-10-30,4670,4830,4650,4800
2025-10-31,4790,4800,4720,4720
2025-11-03,4710,4760,4700,4760
2025-11-04,4760,4790,4720,4730
2025-11-05,4690,4770,4680,4770
2025-11-06,4790,4790,4750,4750
2025-11-07,4750,4780,4740,4750
2025-11-10,4790,4790,4730,4730
2025-11-11,4740,4750,4610,4680
2025-11-12,4680,4790,4680,4760
2025-11-13,4760,4760,4690,4700
2025-11-14,4690,4750,4680,4750
2025-11-17,4780,4850,4770,4820
2025-11-18,4810,4850,4780,4790
2025-11-19,4820,4850,4800,4850
2025-11-20,4940,4990,4900,4940
2025-11-21,4940,4970,4900,4950
2025-11-24,4910,5100,4870,5100
2025-11-25,5075,5100,4950,5025
2025-11-26,5025,5025,4960,5025
2025-11-27,5025,5025,4850,4860
2025-11-28,4800,4880,4800,4830
2025-12-01,4850,4910,4820,4860
2025-12-02,4920,4940,4820,4850
2025-12-03,4850,4920,4820,4880
2025-12-04,4930,4940,4880,4920
2025-12-05,4940,4940,4870,4900
2025-12-08,4950,4960,4910,4950
2025-12-09,4970,4980,4870,4890
2025-12-10,4950,4970,4870,4970
2025-12-11,5000,5050,4830,4950
2025-12-12,4980,4980,4820,4820
2025-12-15,4820,5025,4790,4990
2025-12-16,5025,5050,4920,5000
2025-12-17,4990,5025,4960,5025
2025-12-18,5025,5175,5025,5150
2025-12-19,5175,5200,5100,5175
2025-12-22,5175,5200,5025,5100
2025-12-23,5050,5100,5000,5050
2025-12-24,5025,5100,5025,5050
2025-12-29,5075,5150,5050,5075
2025-12-30,5075,5150,5050,5100
2026-01-02,5125,5150,5025,5075
2026-01-05,5075,5100,5025,5050
2026-01-06,4990,4990,4880,4880
