Date,Open,High,Low,Close
2021-03-31,4045,4073,3873,4000
2021-04-01,3954,3973,3827,3900
2021-04-05,3927,3936,3782,3818
2021-04-06,3791,3845,3773,3818
2021-04-07,3845,3854,3782,3818
2021-04-08,3864,3964,3845,3954
2021-04-09,3982,4000,3954,3954
2021-04-12,3991,3991,3818,3827
2021-04-13,3827,3873,3745,3782
2021-04-14,3891,3954,3836,3954
2021-04-15,3991,4009,3891,4009
2021-04-16,4045,4054,3918,3945
2021-04-19,3964,3982,3918,3982
2021-04-20,3900,3936,3836,3918
2021-04-21,3854,3900,3845,3845
2021-04-22,3845,3873,3818,3818
2021-04-23,3818,3891,3809,3864
2021-04-26,3854,3864,3754,3764
2021-04-27,3818,3818,3773,3791
2021-04-28,3791,3836,3754,3754
2021-04-29,3809,3818,3764,3782
2021-04-30,3773,3782,3682,3682
2021-05-03,3691,3700,3636,3645
2021-05-04,3654,3700,3645,3691
2021-05-05,3736,3754,3709,3718
2021-05-06,3754,3754,3700,3736
2021-05-07,3764,3764,3673,3682
2021-05-10,3682,3718,3682,3682
2021-05-11,3664,3673,3618,3627
2021-05-17,3600,3636,3545,3545
2021-05-18,3600,3600,3536,3545
2021-05-19,3500,3582,3500,3518
2021-05-20,3491,3573,3473,3527
2021-05-21,3564,3591,3509,3536
2021-05-24,3609,3691,3554,3673
2021-05-25,3700,3764,3673,3691
2021-05-27,3764,3809,3591,3591
2021-05-28,3673,3791,3654,3700
2021-05-31,3754,3891,3736,3873
2021-06-02,3954,3982,3845,3873
2021-06-03,3882,3964,3836,3964
2021-06-04,3982,3991,3900,3945
2021-06-07,3945,3954,3827,3864
2021-06-08,3891,3891,3809,3818
2021-06-09,3727,3882,3727,3836
2021-06-10,3891,3927,3873,3909
2021-06-11,3954,3954,3891,3891
2021-06-14,3936,3954,3891,3954
2021-06-15,3954,3954,3827,3845
2021-06-16,3773,3791,3645,3645
2021-06-17,3618,3700,3573,3664
2021-06-18,3691,3691,3554,3554
2021-06-21,3527,3609,3509,3582
2021-06-22,3582,3700,3564,3673
2021-06-23,3682,3700,3582,3582
2021-06-24,3636,3645,3600,3627
2021-06-25,3664,3673,3627,3627
2021-06-28,3618,3627,3573,3573
2021-06-29,3509,3554,3509,3545
2021-06-30,3545,3609,3536,3582
2021-07-01,3582,3609,3554,3582
2021-07-02,3636,3664,3609,3627
2021-07-05,3573,3600,3527,3545
2021-07-06,3591,3591,3536,3536
2021-07-07,3564,3582,3464,3473
2021-07-08,3536,3545,3473,3518
2021-07-09,3509,3518,3436,3454
2021-07-12,3454,3473,3409,3418
2021-07-13,3454,3454,3418,3436
2021-07-14,3436,3454,3364,3373
2021-07-15,3409,3491,3391,3464
2021-07-16,3500,3509,3464,3491
2021-07-19,3500,3500,3436,3436
2021-07-21,3500,3527,3464,3473
2021-07-22,3518,3554,3491,3545
2021-07-23,3582,3591,3482,3518
2021-07-26,3545,3545,3473,3482
2021-07-27,3509,3509,3427,3454
2021-07-28,3454,3464,3382,3391
2021-07-29,3418,3491,3409,3427
2021-07-30,3482,3482,3373,3373
2021-08-02,3427,3427,3364,3400
2021-08-03,3400,3436,3382,3409
2021-08-04,3445,3500,3427,3500
2021-08-05,3545,3718,3545,3682
2021-08-06,3682,3691,3545,3573
2021-08-09,3582,3591,3473,3500
2021-08-10,3536,3536,3464,3473
2021-08-12,3500,3500,3454,3464
2021-08-13,3473,3527,3473,3518
2021-08-16,3518,3573,3491,3573
